Heat_ID,Furnace_ID,Grade_Code,C_Current,C_Min,C_Max,C_Absorption_Rate,C_Cost_Per_Kg,C_Target_Min,C_Target_Max,C_Target_Config,C_Element_Config,C_Final_Cost,Si_Current,Si_Min,Si_Max,Si_Absorption_Rate,Si_Cost_Per_Kg,Si_Target_Min,Si_Target_Max,Si_Target_Config,Si_Element_Config,Si_Final_Cost,Mn_Current,Mn_Min,Mn_Max,Mn_Absorption_Rate,Mn_Cost_Per_Kg,Mn_Target_Min,Mn_Target_Max,Mn_Target_Config,Mn_Element_Config,Mn_Final_Cost,P_Current,P_Min,P_Max,P_Absorption_Rate,P_Cost_Per_Kg,P_Target_Min,P_Target_Max,P_Target_Config,P_Element_Config,P_Final_Cost,S_Current,S_Min,S_Max,S_Absorption_Rate,S_Cost_Per_Kg,S_Target_Min,S_Target_Max,S_Target_Config,S_Element_Config,S_Final_Cost,Cu_Current,Cu_Min,Cu_Max,Cu_Absorption_Rate,Cu_Cost_Per_Kg,Cu_Target_Min,Cu_Target_Max,Cu_Target_Config,Cu_Element_Config,Cu_Final_Cost,Mg_Current,Mg_Min,Mg_Max,Mg_Absorption_Rate,Mg_Cost_Per_Kg,Mg_Target_Min,Mg_Target_Max,Mg_Target_Config,Mg_Element_Config,Mg_Final_Cost
H001,F01,ASTMA395,3.41,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,6.3333,950.0,2.889,2.8,3.2,85,120,2.8,3.2,3.0,3.9176,470.11,0.269,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,1.76,704.0,0.038,0.0,0.04,60,300,0.0,0.04,0.02,0.9,270.0,0.003,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.104,0.1,0.25,80,700,0.1,0.25,0.175,2.6625,1863.75,0.04,0.025,0.055,95,2800,0.025,0.055,0.04,0.0,0.0
H002,F02,ASTMA395,3.48,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,4.0,600.0,3.018,2.8,3.2,85,120,2.8,3.2,3.0,0.6353,76.24,0.247,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,0.88,352.0,0.036,0.0,0.04,60,300,0.0,0.04,0.02,0.8,240.0,0.002,0.0,0.008,70,250,0.0,0.008,0.004,0.0857,21.43,0.255,0.1,0.25,80,700,0.1,0.25,0.175,3.0,2100.0,0.054,0.025,0.055,95,2800,0.025,0.055,0.04,0.4421,1237.88
H003,F03,ASTMA395,3.437,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,5.4333,815.0,3.139,2.8,3.2,85,120,2.8,3.2,3.0,4.9059,588.71,0.302,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,3.08,1232.0,0.035,0.0,0.04,60,300,0.0,0.04,0.02,0.75,225.0,0.005,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.092,0.1,0.25,80,700,0.1,0.25,0.175,3.1125,2178.75,0.058,0.025,0.055,95,2800,0.025,0.055,0.04,0.5684,1591.52
H004,F04,ASTMA395,3.682,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,2.7333,410.0,2.891,2.8,3.2,85,120,2.8,3.2,3.0,3.8471,461.65,0.12,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,4.2,1680.0,0.025,0.0,0.04,60,300,0.0,0.04,0.02,0.25,75.0,0.003,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.195,0.1,0.25,80,700,0.1,0.25,0.175,0.75,525.0,0.036,0.025,0.055,95,2800,0.025,0.055,0.04,0.1263,353.64
H005,F05,ASTMA395,3.507,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,3.1,465.0,3.224,2.8,3.2,85,120,2.8,3.2,3.0,7.9059,948.71,0.282,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,2.28,912.0,0.023,0.0,0.04,60,300,0.0,0.04,0.02,0.15,45.0,0.004,0.0,0.008,70,250,0.0,0.008,0.004,0.0,0.0,0.258,0.1,0.25,80,700,0.1,0.25,0.175,3.1125,2178.75,0.05,0.025,0.055,95,2800,0.025,0.055,0.04,0.3158,884.24
H006,F01,ASTMA395,3.492,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,3.6,540.0,2.926,2.8,3.2,85,120,2.8,3.2,3.0,2.6118,313.42,0.153,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,2.88,1152.0,0.039,0.0,0.04,60,300,0.0,0.04,0.02,0.95,285.0,0.007,0.0,0.008,70,250,0.0,0.008,0.004,0.1286,32.15,0.198,0.1,0.25,80,700,0.1,0.25,0.175,0.8625,603.75,0.052,0.025,0.055,95,2800,0.025,0.055,0.04,0.3789,1060.92
H007,F02,ASTMA395,3.506,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,3.1333,470.0,3.025,2.8,3.2,85,120,2.8,3.2,3.0,0.8824,105.89,0.246,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,0.84,336.0,0.038,0.0,0.04,60,300,0.0,0.04,0.02,0.9,270.0,0.004,0.0,0.008,70,250,0.0,0.008,0.004,0.0,0.0,0.25,0.1,0.25,80,700,0.1,0.25,0.175,2.8125,1968.75,0.028,0.025,0.055,95,2800,0.025,0.055,0.04,0.3789,1060.92
H008,F03,ASTMA395,3.444,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,5.2,780.0,3.117,2.8,3.2,85,120,2.8,3.2,3.0,4.1294,495.53,0.116,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,4.36,1744.0,0.028,0.0,0.04,60,300,0.0,0.04,0.02,0.4,120.0,0.008,0.0,0.008,70,250,0.0,0.008,0.004,0.1714,42.85,0.246,0.1,0.25,80,700,0.1,0.25,0.175,2.6625,1863.75,0.023,0.025,0.055,95,2800,0.025,0.055,0.04,0.5368,1503.04
H009,F04,ASTMA395,3.615,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,0.5,75.0,3.056,2.8,3.2,85,120,2.8,3.2,3.0,1.9765,237.18,0.209,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,0.64,256.0,0.029,0.0,0.04,60,300,0.0,0.04,0.02,0.45,135.0,0.008,0.0,0.008,70,250,0.0,0.008,0.004,0.1714,42.85,0.092,0.1,0.25,80,700,0.1,0.25,0.175,3.1125,2178.75,0.052,0.025,0.055,95,2800,0.025,0.055,0.04,0.3789,1060.92
H010,F05,ASTMA395,3.374,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,7.5333,1129.99,2.861,2.8,3.2,85,120,2.8,3.2,3.0,4.9059,588.71,0.235,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,0.4,160.0,0.036,0.0,0.04,60,300,0.0,0.04,0.02,0.8,240.0,0.005,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.149,0.1,0.25,80,700,0.1,0.25,0.175,0.975,682.5,0.053,0.025,0.055,95,2800,0.025,0.055,0.04,0.4105,1149.4
H011,F01,ASTMA395,3.812,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,7.0667,1060.01,3.151,2.8,3.2,85,120,2.8,3.2,3.0,5.3294,639.53,0.088,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,5.48,2192.0,0.021,0.0,0.04,60,300,0.0,0.04,0.02,0.05,15.0,0.007,0.0,0.008,70,250,0.0,0.008,0.004,0.1286,32.15,0.119,0.1,0.25,80,700,0.1,0.25,0.175,2.1,1470.0,0.041,0.025,0.055,95,2800,0.025,0.055,0.04,0.0316,88.48
H012,F02,ASTMA395,3.749,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,4.9667,745.0,2.885,2.8,3.2,85,120,2.8,3.2,3.0,4.0588,487.06,0.282,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,2.28,912.0,0.024,0.0,0.04,60,300,0.0,0.04,0.02,0.2,60.0,0.004,0.0,0.008,70,250,0.0,0.008,0.004,0.0,0.0,0.257,0.1,0.25,80,700,0.1,0.25,0.175,3.075,2152.5,0.029,0.025,0.055,95,2800,0.025,0.055,0.04,0.3474,972.72
H013,F03,ASTMA395,3.535,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,2.1667,325.0,2.892,2.8,3.2,85,120,2.8,3.2,3.0,3.8118,457.42,0.118,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,4.28,1712.0,0.033,0.0,0.04,60,300,0.0,0.04,0.02,0.65,195.0,0.003,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.251,0.1,0.25,80,700,0.1,0.25,0.175,2.85,1995.0,0.045,0.025,0.055,95,2800,0.025,0.055,0.04,0.1579,442.12
H014,F04,ASTMA395,3.453,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,4.9,735.0,3.219,2.8,3.2,85,120,2.8,3.2,3.0,7.7294,927.53,0.302,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,3.08,1232.0,0.024,0.0,0.04,60,300,0.0,0.04,0.02,0.2,60.0,0.003,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.164,0.1,0.25,80,700,0.1,0.25,0.175,0.4125,288.75,0.047,0.025,0.055,95,2800,0.025,0.055,0.04,0.2211,619.08
H015,F05,ASTMA395,3.794,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,6.4667,970.0,2.961,2.8,3.2,85,120,2.8,3.2,3.0,1.3765,165.18,0.315,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,3.6,1440.0,0.025,0.0,0.04,60,300,0.0,0.04,0.02,0.25,75.0,0.003,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.163,0.1,0.25,80,700,0.1,0.25,0.175,0.45,315.0,0.032,0.025,0.055,95,2800,0.025,0.055,0.04,0.2526,707.28
H016,F01,ASTMA395,3.366,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,7.8,1170.0,2.82,2.8,3.2,85,120,2.8,3.2,3.0,6.3529,762.35,0.374,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,5.96,2384.0,0.039,0.0,0.04,60,300,0.0,0.04,0.02,0.95,285.0,0.007,0.0,0.008,70,250,0.0,0.008,0.004,0.1286,32.15,0.173,0.1,0.25,80,700,0.1,0.25,0.175,0.075,52.5,0.037,0.025,0.055,95,2800,0.025,0.055,0.04,0.0947,265.16
H017,F02,ASTMA395,3.552,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,1.6,240.0,2.769,2.8,3.2,85,120,2.8,3.2,3.0,8.1529,978.35,0.206,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,0.76,304.0,0.039,0.0,0.04,60,300,0.0,0.04,0.02,0.95,285.0,0.008,0.0,0.008,70,250,0.0,0.008,0.004,0.1714,42.85,0.208,0.1,0.25,80,700,0.1,0.25,0.175,1.2375,866.25,0.034,0.025,0.055,95,2800,0.025,0.055,0.04,0.1895,530.6
H018,F03,ASTMA395,3.822,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,7.4,1110.0,2.823,2.8,3.2,85,120,2.8,3.2,3.0,6.2471,749.65,0.226,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,0.04,16.0,0.037,0.0,0.04,60,300,0.0,0.04,0.02,0.85,255.0,0.003,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.097,0.1,0.25,80,700,0.1,0.25,0.175,2.925,2047.5,0.045,0.025,0.055,95,2800,0.025,0.055,0.04,0.1579,442.12
H019,F04,ASTMA395,3.448,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,5.0667,760.0,2.776,2.8,3.2,85,120,2.8,3.2,3.0,7.9059,948.71,0.205,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,0.8,320.0,0.032,0.0,0.04,60,300,0.0,0.04,0.02,0.6,180.0,0.005,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.089,0.1,0.25,80,700,0.1,0.25,0.175,3.225,2257.5,0.037,0.025,0.055,95,2800,0.025,0.055,0.04,0.0947,265.16
H020,F05,ASTMA395,3.52,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,2.6667,400.0,3.101,2.8,3.2,85,120,2.8,3.2,3.0,3.5647,427.76,0.215,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,0.4,160.0,0.04,0.0,0.04,60,300,0.0,0.04,0.02,1.0,300.0,0.008,0.0,0.008,70,250,0.0,0.008,0.004,0.1714,42.85,0.132,0.1,0.25,80,700,0.1,0.25,0.175,1.6125,1128.75,0.053,0.025,0.055,95,2800,0.025,0.055,0.04,0.4105,1149.4
H021,F01,ASTMA395,3.815,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,7.1667,1075.0,3.133,2.8,3.2,85,120,2.8,3.2,3.0,4.6941,563.29,0.253,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,1.12,448.0,0.04,0.0,0.04,60,300,0.0,0.04,0.02,1.0,300.0,0.006,0.0,0.008,70,250,0.0,0.008,0.004,0.0857,21.43,0.223,0.1,0.25,80,700,0.1,0.25,0.175,1.8,1260.0,0.045,0.025,0.055,95,2800,0.025,0.055,0.04,0.1579,442.12
H022,F02,ASTMA395,3.395,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,6.8333,1025.0,3.021,2.8,3.2,85,120,2.8,3.2,3.0,0.7412,88.94,0.251,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,1.04,416.0,0.034,0.0,0.04,60,300,0.0,0.04,0.02,0.7,210.0,0.003,0.0,0.008,70,250,0.0,0.008,0.004,0.0429,10.72,0.14,0.1,0.25,80,700,0.1,0.25,0.175,1.3125,918.75,0.052,0.025,0.055,95,2800,0.025,0.055,0.04,0.3789,1060.92
H023,F03,ASTMA395,3.383,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,7.2333,1084.99,2.801,2.8,3.2,85,120,2.8,3.2,3.0,7.0235,842.82,0.259,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,1.36,544.0,0.025,0.0,0.04,60,300,0.0,0.04,0.02,0.25,75.0,0.006,0.0,0.008,70,250,0.0,0.008,0.004,0.0857,21.43,0.164,0.1,0.25,80,700,0.1,0.25,0.175,0.4125,288.75,0.027,0.025,0.055,95,2800,0.025,0.055,0.04,0.4105,1149.4
H024,F04,ASTMA395,3.822,3.4,3.8,90,150,3.4,3.8,3.5999999999999996,7.4,1110.0,3.206,2.8,3.2,85,120,2.8,3.2,3.0,7.2706,872.47,0.177,0.1,0.35,75,400,0.1,0.35,0.22499999999999998,1.92,768.0,0.038,0.0,0.04,60,300,0.0,0.04,0.02,0.9,270.0,0.007,0.0,0.008,70,250,0.0,0.008,0.004,0.1286,32.15,0.253,0.1,0.25,80,700,0.1,0.25,0.175,2.925,2047.5,0.028,0.025,0.055,95,2800,0.025,0.055,0.04,0.3789,1060.92
